Ticker,Start Date,End Date,Pietroski F-Score,Current Ratio,Liabilities to Equity Ratio,Debt Ratio,Quarterly Return
LB,2010-12-03,2011-03-18,5.00000,2.14723,2.37133,0.36555,0.964319248826291
LB,2011-03-18,2011-06-03,6.00000,1.70013,3.36764,0.38862,1.1996105160662123
LB,2011-06-03,2012-08-31,6.00000,2.27790,5.22449,0.50036,1.3022186147186148
LB,2011-12-02,2012-03-23,5.00000,1.71941,11.50864,0.54258,1.1371774006045106
LB,2012-03-23,2012-06-01,6.00000,1.51835,43.26087,0.57924,0.8957268452259253
LB,2012-06-01,2013-09-06,3.00000,2.14419,-51.50382,0.68576,1.3038119150878793
LB,2013-09-06,2013-12-06,5.00000,1.90357,-27.89388,0.68857,1.1143207282913166
LB,2013-09-06,2013-12-06,5.00000,1.39259,-8.05226,0.73699,1.1143207282913166
LB,2013-03-22,2013-06-07,7.00000,1.41482,-6.93590,0.74381,1.1778857275040482
LB,2013-06-07,2013-09-06,4.00000,1.47717,-6.81087,0.77476,1.1217596229379418
LB,2013-09-06,2013-12-06,6.00000,1.90357,-27.89388,0.68857,1.1143207282913166
LB,2013-09-06,2013-12-06,6.00000,1.39259,-8.05226,0.73699,1.1143207282913166
LB,2013-12-06,2014-03-21,3.00000,1.61045,-13.47961,0.70562,0.9106048703849176
LB,2013-12-06,2014-03-21,3.00000,1.47059,-9.09268,0.75015,0.9106048703849176
LB,2014-03-21,2014-06-06,6.00000,1.70975,-20.50678,0.69130,1.0213940648723259
LB,2014-06-06,2014-09-05,4.00000,1.68779,-11.94089,0.74621,1.087162162162162
LB,2014-09-05,2014-12-05,6.00000,1.69114,-14.65805,0.72373,1.2896208825357365
LB,2014-12-05,2015-03-20,6.00000,1.56643,-17.51039,0.69548,1.1266265060240965
LB,2015-03-20,2015-06-05,7.00000,1.90530,392.47368,0.63162,0.9298470751791252
LB,2015-06-05,2015-09-04,3.00000,1.64270,-11.84488,0.71805,1.0184013801035077
LB,2015-09-04,2015-12-04,5.00000,1.56879,-11.41422,0.70050,1.0845849802371543
LB,2015-12-04,2016-03-18,5.00000,2.04225,-13.01370,0.72431,0.9066014160766346
LB,2016-03-18,2016-06-03,6.00000,2.21653,-33.91860,0.67361,0.815780406569427
